2016-09-01	61487	19110	134436	24352
2016-09-02	65260	20168	142408	25462
2016-09-03	52204	19053	135209	23210
2016-09-04	47126	18389	118866	21381
2016-09-05	61209	19568	123094	23308
2016-09-06	63780	19518	125114	23729
2016-09-07	64347	17860	128450	22023
2016-09-08	67604	19586	132775	24514
2016-09-09	72997	20992	146824	26231
2016-09-10	55911	18718	134268	23920
2016-09-11	48438	16822	126071	21393
2016-09-12	64464	18087	123944	23306
2016-09-13	65524	18346	131000	23844
2016-09-14	64007	19098	146058	25918
2016-09-15	42822	14261	138637	20593
2016-09-16	38608	13725	119231	17986
2016-09-17	42674	14610	119104	18418
2016-09-18	52828	16424	120758	21062
2016-09-19	61217	17501	116522	23163
2016-09-20	63822	17445	123234	23853
2016-09-21	63643	17661	127184	22899
2016-09-22	64392	18323	125993	24537
2016-09-23	70245	20231	133615	26752
2016-09-24	53916	18915	132164	26109
2016-09-25	49531	16737	122936	24012
2016-09-26	65772	17720	120638	25345
2016-09-27	67380	18184	122807	26822
2016-09-28	68216	18339	124646	26806
2016-09-29	64958	17989	132610	26836
2016-09-30	64264	18933	127717	27644
2016-10-01	39339	14623	104598	21496
2016-10-02	35039	13355	97468	19675
2016-10-03	32460	12456	89370	17784
2016-10-04	31222	12338	92393	17227
2016-10-05	33847	12544	93017	18429
2016-10-06	38730	13885	103248	20042
2016-10-07	40185	14679	104079	21879
2016-10-08	50873	16536	111345	24891
2016-10-09	54403	17118	113102	26938
2016-10-10	63511	17746	116800	28015
2016-10-11	65247	17169	119632	28532
2016-10-12	67251	18453	122148	29006
2016-10-13	68841	18179	121895	29837
2016-10-14	70528	19698	131847	31586
2016-10-15	57104	18835	132433	29700
2016-10-16	51256	17116	117173	26907
2016-10-17	66065	18802	112118	27972
2016-10-18	67712	20100	115745	26663
2016-10-19	69347	19383	119506	26237
2016-10-20	71333	18925	119659	28998
2016-10-21	71832	16862	125443	13975
2016-10-22	56354	17066	125675	26493
2016-10-23	51529	16136	110143	25583
2016-10-24	63314	17674	105247	26080
2016-10-25	65492	18571	109615	27163
2016-10-26	65999	18275	113804	27659
2016-10-27	70348	18541	112389	28552
2016-10-28	67133	19314	117659	29131
2016-10-29	53651	17501	118485	27511
2016-10-30	48696	16656	105852	25203
2016-10-31	62940	18259	104906	27147
2016-11-01	63007	19105	107673	27214
2016-11-02	63975	19574	109151	28104
2016-11-03	65989	20090	111343	29048
2016-11-04	71532	21468	117468	30080
2016-11-05	57565	20190	120271	29576
2016-11-06	54354	18416	110616	27772
2016-11-07	65598	19762	112158	28512
2016-11-08	60551	19867	68436	27831
2016-11-09	70903	21063	116967	29859
2016-11-10	73160	22201	125201	30477
2016-11-11	75500	22938	129519	31981
2016-11-12	62311	22432	137215	32461
2016-11-13	55190	20314	127097	29292
2016-11-14	71407	22022	120117	30631
2016-11-15	75433	22947	123555	32684
2016-11-16	75117	23424	121633	32756
2016-11-17	76247	23669	123267	32631
2016-11-18	80519	26142	134463	35144
2016-11-19	65626	24475	138544	33740
2016-11-20	60657	22080	127210	31285
2016-11-21	77293	22991	116558	31914
2016-11-22	80121	23518	119371	32390
2016-11-23	81363	23624	122784	32879
2016-11-24	81538	23797	119805	34131
2016-11-25	82613	25553	127649	35743
2016-11-26	64750	23935	132951	33271
2016-11-27	61236	22058	118279	30657
2016-11-28	76486	23240	111447	31856
2016-11-29	80260	24571	116271	33195
2016-11-30	77682	22280	110200	30324
2016-12-01	83335	24801	122514	34541
2016-12-02	85404	26191	129007	36679
2016-12-03	66177	24617	125648	34502
2016-12-04	58571	22021	112014	31554
2016-12-05	76966	23307	107104	31680
2016-12-06	79626	23940	111558	32856
2016-12-07	80545	24141	112369	33567
2016-12-08	80699	24527	114518	33800
2016-12-09	82824	26013	119856	34926
2016-12-10	67283	24598	122350	33914
2016-12-11	60332	21721	109621	30637
2016-12-12	76812	23771	105293	30904
2016-12-13	79509	24110	110681	31618
2016-12-14	80037	23612	108671	31741
2016-12-15	80159	23766	109862	32096
2016-12-16	80289	24706	115572	33207
2016-12-17	71065	22914	118258	32375
2016-12-18	69334	20484	105356	29423
2016-12-19	74276	22163	96794	29157
2016-12-20	76816	22809	101446	29755
2016-12-21	75314	21137	97656	29397
2016-12-22	77753	22406	101313	30665
2016-12-23	78360	23403	108303	32404
2016-12-24	66093	21918	113289	32136
2016-12-25	57945	18998	101250	28625
2016-12-26	70233	21425	89714	28777
2016-12-27	73371	21382	89733	29446
2016-12-28	74449	20971	92390	29247
2016-12-29	76223	21750	95874	29443
2016-12-30	77084	22895	99709	31633
2016-12-31	55208	20638	95365	30281
2017-01-01	45358	17600	84033	27107
2017-01-02	47393	16859	81660	24553
2017-01-03	67583	19720	86826	26646
2017-01-04	70890	20463	93329	27636
2017-01-05	70559	20365	90701	27488
2017-01-06	72399	20380	89860	27426
2017-01-07	57150	18470	91253	22073
2017-01-08	53339	17102	82668	20217
2017-01-09	64762	18167	75945	21098
2017-01-10	66189	18462	77900	21305
2017-01-11	67304	18169	75407	20948
2017-01-12	68117	17139	80895	21247
2017-01-13	66346	16649	83686	21008
2017-01-14	54289	15835	80526	18937
2017-01-15	48114	13772	72245	16576
2017-01-16	58484	15210	69208	17784
2017-01-17	58565	15307	70640	17726
2017-01-18	57654	15070	69113	17779
2017-01-19	58909	14693	67743	16939
2017-01-20	51385	13692	64466	15541
2017-01-21	38632	11432	60086	12729
2017-01-22	38877	10677	53679	11748
2017-01-23	38192	10400	51056	10887
2017-01-24	34459	9456	48495	9904
2017-01-25	28520	7927	43921	7785
2017-01-26	20181	6032	34300	5325
2017-01-27	8437	3152	21042	2478
2017-01-28	7394	2973	18613	2124
2017-01-29	9824	3477	23094	3006
2017-01-30	11403	3816	24404	3451
2017-01-31	12711	4057	25724	4111
2017-02-01	14247	4532	28920	4775
2017-02-02	16791	5249	31494	5558
2017-02-03	23063	6409	35631	6905
2017-02-04	26686	7750	42893	8575
2017-02-05	25380	7938	45345	8774
2017-02-06	34659	9565	49304	10720
2017-02-07	37499	10247	52869	11701
2017-02-08	40269	10698	57383	12669
2017-02-09	42246	11013	57534	12901
2017-02-10	41640	11418	61856	13644
2017-02-11	29911	9349	61351	10496
2017-02-12	30552	9318	57930	11053
2017-02-13	41975	11620	56287	13422
2017-02-14	44816	12152	55371	13985
2017-02-15	46016	11886	35964	14396
2017-02-16	47201	12710	37792	14980
2017-02-17	47216	13600	41122	15671
2017-02-18	38106	12184	36025	14140
2017-02-19	35347	11019	34064	12379
2017-02-20	45893	12698	39179	14365
2017-02-21	46901	13225	40618	15223
2017-02-22	48573	13326	41453	15364
2017-02-23	48814	13515	41525	15758
2017-02-24	47994	13615	41818	15828
2017-02-25	38980	11449	36621	13692
2017-02-26	36151	10638	33820	12303
2017-02-27	45176	12383	37454	14153
2017-02-28	48074	13189	39711	14840
